,Date,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,1 Cases every X ppl,1 Death every X ppl,1 test every X ppl,Continent
58,22-7-2020,Serbia,22031,426,499,8,14047,0,7485,205,2522,57.0,580271,66429,8735196,396,17505,15,Europe
59,22-7-2020,Moldova,21798,356,712,5,14856,257,6230,362,5404,177.0,128076,31754,4033391,185,5665,31,Europe
60,22-7-2020,Austria,19929,102,711,1,17849,133,1369,18,2212,79.0,814681,90426,9009335,452,12671,11,Europe
61,22-7-2020,Uzbekistan,18324,443,97,2,9554,33,8673,70,547,3.0,1377915,41138,33494814,1828,345307,24,Asia
62,22-7-2020,Nepal,18094,100,42,2,12684,207,5368,0,620,1.0,640016,21946,29163547,1612,694370,46,Asia
63,22-7-2020,Morocco,17962,220,285,5,15636,247,2041,31,486,8.0,1047871,28371,36934239,2056,129594,35,Africa
64,22-7-2020,Cameroon,16522,0,382,0,13728,0,2412,52,622,14.0,135000,5080,26577213,1609,69574,197,Africa
65,22-7-2020,Kenya,14805,637,260,10,6757,499,7788,44,275,5.0,254273,4724,53829262,3636,207036,212,Africa
66,22-7-2020,Ivory Coast,14531,0,93,0,8857,0,5581,0,550,4.0,86552,3277,26409308,1817,283971,305,Africa
67,22-7-2020,Czechia,14448,124,364,4,9075,157,5009,18,1349,34.0,638484,59615,10710153,741,29423,17,Europe
68,22-7-2020,S. Korea,13879,63,297,1,12698,55,884,21,271,6.0,1492071,29101,51271810,3694,172632,34,Asia
69,22-7-2020,Denmark,13350,48,611,0,12274,13,465,4,2304,105.0,1372419,236894,5793389,434,9482,4,Europe
70,22-7-2020,El Salvador,12975,393,363,11,7119,154,5493,438,2000,56.0,216916,33433,6488086,500,17874,30,North America
71,22-7-2020,Australia,12894,466,128,2,8545,101,4221,42,505,5.0,3641780,142726,25515934,1979,199343,7,Australia/Oceania
72,22-7-2020,Venezuela,12774,0,120,0,6983,0,5671,19,449,4.0,1435142,50478,28431006,2226,236925,20,South America
73,22-7-2020,Costa Rica,11811,0,68,0,3194,0,8549,49,2317,13.0,71150,13960,5096699,432,74951,72,North America
74,22-7-2020,Ethiopia,11524,452,188,8,5506,58,5830,35,100,2.0,350160,3042,115098872,9988,612228,329,Africa
75,22-7-2020,Sudan,10992,0,693,0,5707,0,4592,0,250,16.0,401,9,43898661,3994,63346,109473,Africa
76,22-7-2020,North Macedonia,9547,135,442,10,5071,131,4034,55,4582,212.0,89703,43057,2083369,218,4714,23,Europe
77,22-7-2020,Palestine,9398,170,64,0,1932,0,7402,0,1840,13.0,155355,30419,5107142,543,79799,33,Asia
78,22-7-2020,Bulgaria,9254,0,313,0,4521,0,4420,31,1332,45.0,215572,31039,6945128,751,22189,32,Europe
79,22-7-2020,Senegal,9121,136,177,3,6108,64,2836,39,544,11.0,98906,5900,16764521,1838,94715,169,Africa
80,22-7-2020,Bosnia and Herzegovina,9115,328,268,4,4159,156,4688,0,2779,82.0,125518,38273,3279537,360,12237,26,Europe
81,22-7-2020,Norway,9059,6,255,0,8138,0,666,1,1670,47.0,407311,75099,5423620,599,21269,13,Europe
82,22-7-2020,Malaysia,8831,16,123,0,8566,4,142,5,273,4.0,902439,27863,32388244,3668,263319,36,Asia
83,22-7-2020,DRC,8626,92,197,1,4790,262,3639,0,96,2.0,0,0,89682615,10397,455242,0,Africa
84,22-7-2020,Madagascar,8162,614,69,4,4662,376,3431,84,294,2.0,35268,1272,27724486,3397,401804,786,Africa
85,22-7-2020,Finland,7362,11,328,0,6920,40,114,1,1329,59.0,321168,57960,5541229,753,16894,17,Europe
86,22-7-2020,Haiti,7146,46,154,3,4095,0,2897,0,626,13.0,16175,1418,11410028,1597,74091,705,North America
87,22-7-2020,Tajikistan,7015,48,58,1,5741,58,1216,0,735,6.0,0,0,9548081,1361,164622,0,Asia
88,22-7-2020,French Guiana,6851,0,39,0,4996,0,1816,21,22910,130.0,33771,112929,299045,44,7668,9,South America
89,22-7-2020,Guinea,6652,0,41,0,5771,0,840,24,506,3.0,14407,1096,13149276,1977,320714,913,Africa
90,22-7-2020,Gabon,6433,0,46,0,4034,0,2353,11,2887,21.0,59671,26779,2228261,346,48440,37,Africa
91,22-7-2020,Mauritania,5985,0,155,0,3826,0,2004,4,1286,33.0,57253,12298,4655367,778,30035,81,Africa
92,22-7-2020,Luxembourg,5854,129,111,0,4530,51,1213,5,9344,177.0,370539,591436,626507,107,5644,2,Europe
93,22-7-2020,Djibouti,5030,3,58,2,4904,20,68,0,5087,59.0,55048,55674,988758,197,17048,18,Africa
94,22-7-2020,CAR,4561,0,55,0,1411,0,3095,2,944,11.0,28916,5982,4834077,1060,87892,167,Africa
95,22-7-2020,Croatia,4530,108,125,2,3278,95,1127,9,1104,30.0,106805,26027,4103677,906,32829,38,Europe
